"Name","Description","Flavors","Sweetness","Body","Tanins","Acidity","Alcohol","Serve","Glass","Decant","Age","Pairing"
"Norton","An American hybrid of Vitis vinifera and Vitis aestivalis that shows excellent promise for winemaking in America’s midwest. Wines are often rich with both fruity and savory flavors.","Black Currant, Black Cherry, Dill, Black Pepper, Chocolate","2","4","4","3","13.5–15% ABV","60–68°F / 15-20°C","Universal","30 Minutes","3–5 Years","This all American wine needs some all American fare, think venison, beef or blackened fish. With the bright acidity and fuller body, try it in place of a Cabernet Sauvignon."
"País","The Chilean name for the Spanish grape, Listán Prieto. It’s been used mostly for bulk rosé until recently, where quality-minded, natural winemakers are launching tart, high-tannin reds made from País old vines.","Cherry, Grape, Anise, Cured Meat, Sage","1","3","4","2","11.5–13.5% ABV","55–60°F / 12-15°C","Universal","30 Minutes","1–3 Years","Go Mediterranean. Spanish tapas, Greek meze, fatty fish, duck, chicken or goose, as well as mushrooms or simple grilled vegetable dishes. "
"Palomino Fino","Palomino is the prized pony in the sherry triangle; most notably Jerez, where it grows on chalky soils called albariza (al-bah-ree-tha,) and is used in making Sherry. A few still, dry, single-varietal wines exist and expound saltiness.","Lemon, Jackfruit, Almond, Saline, Mushroom","1","1","1","4","10–11.5% ABV","45–55°F / 7-12°C","White","No","5–10 Years","Fino style sherries will behave as white wines do when it comes to pairing, while oloroso styles function closer to red wines. Amontillado styles vary, let salinity and weight be the guide."
"Pedro Ximénez","The Andalucían grapes responsible for some of the world’s sweetest fortified wines are often dried in the sun to further concentrate the sugars. PX sherry on your pancakes, anyone?","Toffee, Figs, Walnut, Lemon, Coffee","5","5","1","2","Under 10% ABV","55–60°F / 12-15°C","Dessert","No","10+ Years","We weren’t kidding when we said pancake syrup! As well, PX drizzled on a fresh fruit salad would be amazing."
"Petit Verdot","Considered a minor blending grape in Bordeaux, Petit Verdot has shown promise as a single-varietal wine in warmer climates where it makes smooth full-bodied reds.","Black Cherry, Plum, Violet, Lilac, Sage","2","5","5","3","13.5–15% ABV","60–68°F / 15-20°C","Oversized","1 Hour","10+ Years","A bold and boisterous wine with a shorter finish will do well with roasted meats that have a pungent note, such Cuban style pork or even burgers with blue cheese."
"Pinotage","South Africa’s own hearty red was created in 1925 and is a cross between Cinsault and Pinot Noir. Oddly enough, Pinotage is bolder than both its progenitors.","Black Cherry, Blackberry, Fig, Menthol, Roasted Meat","2","5","4","1","Over 15% ABV","60–68°F / 15-20°C","Universal","1 Hour","10+ Years","Try Pinotage with roasted meats and vegetables topped with flavorful sauces such as teriyaki, plum sauce, and barbecue."
"Refosco","A family of closely related varieties found Northern Italy and neighboring Slovenia with genetic links to the grapes of Valpolicella. Wines range in body and style but usually feature deep color and elevated acidity.","Dried Herbs, Dried Cherry, Espresso, Anise, Smoke","2","4","3","4","11.5–13.5% ABV","60–68°F / 15-20°C","Universal","30 Minutes","10+ Years","Cured meats, game, roasted fare and spiced dishes work well with this richer, fuller-bodied red."
"Ribolla Gialla","An ancient white variety from northern Italy, bordering Slovenia. Rarely seen elsewhere, wines are typically light in body and offer fruity, floral aromas, as well as bright acidity.","Baked Apple, Tangerine, Citrus, Beeswax, Thyme","2","2","1","4","11.5–13.5% ABV","45–55°F / 7-12°C","White","No","3–5 Years","The acidity in the wine would be magic against deep fried seafood, lemon caper veal piccata, fresh salads or mussels in a white wine garlic sauce."
"Riesling","An aromatic white variety that can produce white wines ranging in style from bone-dry to very sweet. Germany is the world’s most important producer of Riesling.","Lime, Green Apple, Beeswax, Jasmine, Petroleum","3","1","1","5","Under 10% ABV","38–45°F / 3-7°C","White","No","10+ Years","Off-dry Riesling wines make a great pairing to spicy Indian and Asian cuisines and do excellently alongside duck, pork, bacon, shrimp and crab."
"Pinot Noir","Pinot Noir is the world’s most popular light-bodied red wine. It’s loved for its red fruit, flower, and spice aromas that are accentuated by a long, smooth finish.","Cherry, Raspberry, Mushroom, Clove, Hibiscus","2","3","2","4","11.5–13.5% ABV","55–60°F / 12-15°C","Aroma Collector","30 Minutes","10+ Years","A very versatile food pairing wine given it’s higher high acidity and lower tannin. Pinot Noir pairs particularly well with duck, chicken, pork, and mushrooms."
"Rkatsiteli","A popular dry white wine in Eastern Europe all the way to Georgia where producers use ancient winemaking techniques to produce intensely flavored oxidative wines.","Pineapple, Lime, Resin, Tarragon, Fennel","2","1","1","5","11.5–13.5% ABV","38–45°F / 3-7°C","White","No","3–5 Years","Rkatsitelli pairs excellently with Lebanese, Turkish, Iranian and even Indian cuisines including spiced meats, aromatic rice, lentils, bean dip, and smoked eggplant."
"Roussanne","An intriguing, rare full-bodied white found mostly in Southern France where it’s blended into white blends with Grenache Blanc, Marsanne and sometimes Viognier.","Meyer Lemon, Apricot, Beeswax, Chamomile, Brioche","2","3","1","3","13.5–15% ABV","45–55°F / 7-12°C","Aroma Collector","No","5–10 Years","Producers of Roussanne in the US produce richer oak-aged wines that are reminiscent of Chardonnay. For this style, opt for buttery meats like lobster, crab, foie gras, and pâté."
"Petite Sirah","Petit Sirah is loved for its deeply colored wines with rich black fruit flavors and bold tannins. The grape related to Syrah and the rare French grape, Peloursin. The French call it “Durif” but this wine is rare outside of California.","Sugarplum, Blueberry, Dark Chocolate, Black Pepper, Black Tea","2","5","5","3","Over 15% ABV","60–68°F / 15-20°C","Universal","1 Hour","10+ Years","Given the wines sometimes aggressive tannins, Petite Sirah will do well matched with fat and umami – be it steaks from the grill or a plate of beef stroganoff."
"Picpoul","A very old French white wine variety that’s recently become increasingly popular for its lip-zapping white wines that pair perfectly with shellfish and fried foods.","Green Apple, Citrus Blossom, Lemon, Thyme, Saline","2","1","1","5","11.5–13.5% ABV","38–45°F / 3-7°C","White","No","1–3 Years","A great choice for pairing with fried appetizers as well as seafood from raw oysters and sushi to Mediterranean-themed fish dishes and fried calamari."
"Pinot Blanc","Pinot Blanc is the white grape mutation of Pinot Noir. It’s found mostly in Germany and Northern Italy where wines are refreshing, peachy, and dry.","Pear, Peach, Raw Almond, Lemon Zest, Crushed Gravel","2","1","1","3","13.5–15% ABV","45–55°F / 7-12°C","White","No","1–3 Years","A wine like Pinot Blanc is best suited to foods with more subtle flavoring. It will match up well with soft cheeses, salads with cream dressings and flaky fish."
"Pinot Gris","Pinot Gris (aka Pinot Grigio) is a pinkish grape mutation of Pinot Noir. It’s famously known for zesty white wines, but can also be used for rosé. Look to Northern Italy, Oregon, and Alsace for benchmark examples.","White Peach, Lemon Zest, Cantalope, Raw Almond, Crushed Gravel","2","2","1","4","11.5–13.5% ABV","45–55°F / 7-12°C","White","No","3–5 Years","Pinot Gris works excellently with white meats and seafood particularly in meals that include a fruit element such as lemons, oranges, peaches or apricots."
"Pinot Meunier","This fruity red grape is mostly seen as a chief blending partner in the world’s most popular sparkling wine, Champagne.","Tart Cherry, Pomegranate, Potting Soil, Mushroom, Rose","1","2","2","4","10–11.5% ABV","55–60°F / 12-15°C","Aroma Collector","30 Minutes","10+ Years","Pinot Meunier, being so closely related to Pinot Noir, will pair with similar things. Pork, roast duck, mushrooms or grilled vegetables would all play well."
"Sagrantino","A rare, central-Italian red found mostly in Umbria. It’s recently been noted to contain some of the highest polyphenol (antioxidants) levels of of any red wine.","Plum Sauce, Licorice, Black Tea, Black Olive, Black Pepper","1","5","5","4","13.5–15% ABV","60–68°F / 15-20°C","Oversized","1 Hour","10+ Years","Given Sagrantino’s super high tannin and astringency, look for dishes that feature fat and umami. Earthy sausages, wild mushrooms, and cheese all match well."
"Sangiovese","Italy’s most planted wine variety and the pride of the Tuscan regional wine, Chianti. Sangiovese is a sensitive grape that takes on different stylistic expressions based on where it grows.","Cherry, Roasted Tomato, Sweet Balsamic, Oregano, Espresso","1","4","4","4","13.5–15% ABV","60–68°F / 15-20°C","Universal","30 Minutes","10+ Years","The high acidity in this wine make it versatile with a wide variety of vegetable and spice-driven foods; think tomato, red pepper, and just about anything grilled."
"Sauvignon Blanc","A popular and unmistakable white that’s loved for its “green” herbal flavors and sky high acidity. Sauvignon Blanc grows nearly everywhere and is produced in a variety of methods resulting in a wide that range from lean to bountiful.","Gooseberry, Honeydew, Grapefruit, White Peach, Passion Fruit","2","2","1","5","11.5–13.5% ABV","45–55°F / 7-12°C","White","No","3–5 Years","A wonderful choice with herb-driven sauces over chicken, tofu or fish dishes, matched with feta or chèvre, and paired with Thai and Vietnamese cuisine."
"Savatiano","Greece’s most planted variety is starting to make a comeback as more winemakers focus on quality producing richer, full-bodied white wines reminiscent of Chardonnay.","Green Apple, Honeydew, Lime Zest, Lemon Curd, Resin","2","3","1","2","11.5–13.5% ABV","45–55°F / 7-12°C","Aroma Collector","No","3–5 Years","A unique white with subtle resinous notes giving it the ability to match with heavily marinated meats including those from Polynesian, Mexican and Caribbean cuisines."
"Schiava","A group of several varieties, the finest of which is called Schiava Gentile. Wines are sweetly aromatic and light-bodied with aromas reminiscent to cotton candy and roses.","Strawberry, Raspberry, Rose Candy, Lemon, Smoke","2","2","2","4","10–11.5% ABV","55–60°F / 12-15°C","Aroma Collector","No","1–3 Years","A wonderfully pairing with shrimp, chicken and tofu, particularly with southeast Asian cuisine that feature basil, ginger, galangal and other aromatic herbs."
"Sémillon","An important white grape of Bordeaux, including the prized dessert wine, Sauternes. Wines can be surprisingly rich and when oaked, can taste similar to Chardonnay.","Lemon, Beeswax, Yellow Peach, Chamomile, Saline","2","3","1","3","11.5–13.5% ABV","45–55°F / 7-12°C","White","No","5–10 Years","Sémillon pairs excellent with richer fish entrées such as black cod and with white meats including chicken and pork chops. Try spicing with fresh fennel and dill."
"Silvaner (Sylvaner)","An undervalued white wine primarily found in Germany. Silvaner Wines deliver boisterous peach-like fruit contrasted by subtle herbal flavors. Fans of Pinot Gris will delight.","Peach, Passion Fruit, Orange Blossom, Thyme, Flint","2","2","1","4","11.5–13.5% ABV","38–45°F / 3-7°C","White","No","3–5 Years","Great for alfresco dining and best served alongside fruit-driven salads and lighter meat, tofu and fish dishes, especially when served with fresh aromatic herbs."
"St. Laurent","Likely originating in Austria, this small berried vine yields cherry flavoured wines that have been compared to a deeper coloured, beefier version of Pinot Noir.","Raspberry, Blackberry, Sweet Tobacco, Baking Spices, Chocolate","2","3","2","4","11.5–13.5% ABV","55–60°F / 12-15°C","Aroma Collector","No","5–10 Years","The lighter body and notable, yet soft tannins just beg for richly flavoured foods such as roast duck, mushroom risotto or cured meats. "
"Syrah","A rich, powerful, and sometimes meaty red wine that originated in the Rhône Valley of France. Syrah is the most planted grape of Australia where they call it Shiraz.","Blueberry, Black Plum, Milk Chocolate, Tobacco, Green Peppercorn","2","5","4","3","13.5–15% ABV","60–68°F / 15-20°C","Universal","1 Hour","10+ Years","Darker meats and exotic spices bring out the fruit notes of Syrah. Try it with Lamb Shawarma, Gyros, Asian 5-spice pork and even Indian tandoori meats."
"Tannat","Tannat is the most planted variety of Uruguay where it was studied to determine that it contains some of the highest polyphenols (antioxidants) of all red wines.","Black Currant, Plum, Licorice, Smoke, Cardamom","2","5","5","3","13.5–15% ABV","60–68°F / 15-20°C","Oversized","1 Hour","10+ Years","Because of the somewhat astringent quality of Tannat, you’ll find it pairs well alongside richly marinated, barbecue grilled meats and vegetables."
"Tempranillo","Spain’s top red wine, made famous by Rioja, where wines are classified (in part) by how long they age in oak. What’s amazing, is a well-made Tempranillo ages for over 20 years.","Cherry, Dried Fig, Cedar, Tobacco, Dill","2","4","4","4","13.5–15% ABV","60–68°F / 15-20°C","Universal","1 Hour","10+ Years","Bolder, aged Tempranillo wines pair nicely with steak, gourmet burgers and rack of lamb. Fresher styles match well with baked pasta and other tomato-based dishes"
"Torrontés","Argentina’s very own white is actually a group of 3 varieties that are offspring of Muscat of Alexandria. Of the 3 varieties Torrontés Riojano is considered the best.","Meyer Lemon, Peach, Rose Petal, Geranium, Citrus Zest","2","2","1","3","11.5–13.5% ABV","38–45°F / 3-7°C","White","No","3–5 Years","Even though Torrontés smells sweetly, it’s usually quite dry, making it a great match with savory dishes that feature exotic spices, fruit, and aromatic herbs."
"Touriga Franca","A northern Portuguese native, used mainly in Port wine production, as well as blended table wines of the Dão. Wines are deep in colour, with floral, red-fruit flavours.","Blackberry Sauce, Pomegranate, Graphite, Rose Petal, Pink Peppercorn","2","3","4","4","13.5–15% ABV","60–68°F / 15-20°C","Universal","No","10+ Years","Look for rustic cuts of red meat and game to stand up to the earthy funk in this wine. Think grilled and roasted fare."
"Touriga Nacional","An increasingly important red from Portugal that was originally used in Port wines and is now featured in single varietal wines and red blends from the Douro Valley.","Blueberry, Violet, Plum, Mint, Wet Slate","2","5","5","4","Over 15% ABV","60–68°F / 15-20°C","Oversized","1 Hour","10+ Years","Touriga Nacional’s elegant floral fruit aromas and massive tannins will make you yearn for thick cut steaks topped with compound butter or blue cheese."
"Trebbiano Toscano","One of the top wine grapes of Italy and France (where it’s called Ugni Blanc). That said, you’d never realize it because Trebbiano is mostly used in brandy and balsamic vinegar production!","White Peach, Lemon, Green Apple, Seashell, Basil","2","2","1","4","11.5–13.5% ABV","45–55°F / 7-12°C","White","No","3–5 Years","As a dry white wine, Trebbiano pairs well with hard Italian cheeses, seafood pastas, white pizza, roast chicken and even pesto."
"Verdejo","An herbaceous white wine that grows almost exclusively in the Rueda region of Spain. Not to be confused with Verdelho, a Portuguese grape used in primarily in Madeira.","Lime, Honeydew, Grapefruit Pith, Fennel, White Peach","2","1","1","4","11.5–13.5% ABV","38–45°F / 3-7°C","White","No","3–5 Years","A great food wine due to it’s higher acidity and subtle bitterness acting as a palate cleanser. Try it with fish tacos, lime chicken, carnitas and seitan steaks."
"Verdelho","This Portuguese native is one of the four key grapes used in the production of Madeira; it is found little elsewhere, though select Australian producers are making quality wines.","Gooseberry, Pineapple, Ginger, Honeydew, Brazil Nut","2","1","1","4","13.5–15% ABV","45–55°F / 7-12°C","White","No","5–10 Years","Fruity white wines are incredibly versatile; oysters, green salads with a bright vinaigrette, or tapas all work wonderfully."
"Verdicchio","A fascinating white found primarily in the Marche of Italy where Verdicchio wines are loved for their sweet, peachy aromatics and somewhat oily texture.","Peach, Lemon Curd, Almond Skin, Oily, Saline","2","1","1","4","11.5–13.5% ABV","38–45°F / 3-7°C","White","No","1–3 Years","A great aperitif wine served alongside marcona almonds, Proscuitto, savory tarts, potato-cheese puff pastries, quiche and savory soufflés."
"Vermentino","Vermentino is an important white of Sardinia and Tuscany where producers offer both oaked and unoaked styles. It’s also one of the top white blending grapes included in Provence Rosé (labeled as Rolle).","Lime, Grapefruit, Green Apple, Almond, Daffodil","2","2","1","4","11.5–13.5% ABV","45–55°F / 7-12°C","White","No","3–5 Years","Given it’s fuller style and herbaceous flavors, Vermentino does wonders with grilled light meats and fish and dishes that highlight green and herbal flavors."
"Vidal","A French hybrid grape, known principally for its use in ice wine making in Canada. The vines are ideal for ice wine, as they are incredibly hardy and suited to harsh winters.","White Currant, Pineapple, Honeydew, Lychee, Honeysuckle","3","3","1","5","11.5–13.5% ABV","38–45°F / 3-7°C","White","No","5–10 Years","Icewine pairs well with simple, fresh desserts. Think fruit salad drizzled with maple syrup, or a simple fruit panna cotta. "
"Viognier","A rich, oily white wine that originated in the Northern Rhône and is rapidly growing in popularity in California, Australia, and beyond. Wines are often age in oak to deliver Chardonnay-like richness.","Tangerine, Peach, Mango, Honeysuckle, Rose","2","3","1","2","13.5–15% ABV","45–55°F / 7-12°C","White","No","3–5 Years","A wine best paired with delicate meats or scallops that are flavored with stewed fruit, almonds, citrus or aromatic herbs (such as Thai Basil or Tarragon)."
"Viura","The most important white grape of Rioja where wines evolve over 10 or more years. In Catalonia, Viura is called Macabeo and is the primary blending grape in Cava sparkling wines.","Honeydew, Lime Peel, Lemon Verbana, Tarragon, Hazelnut","1","2","1","3","11.5–13.5% ABV","45–55°F / 7-12°C","White","No","10+ Years","Younger Viura wines pair well with southeast Asian (coconut curries, Viet. vermicelli noodle bowls). Aged Viura pairs nicely with roast meats and resinous herbs."
"Xarel-lo","One of the three main grapes used in the production of sparkling Cava (along with Parellada and Macabeo). Xarel-lo is noted to complement the richness of Macabeo (aka Viura) with high acidity.","Lemon, Peach, Lime Blossom, Ginger, Raw Almond","1","1","1","5","11.5–13.5% ABV","38–45°F / 3-7°C","White","No","3–5 Years","Cava pairs with a wide range of foods, as Champagne does; asparagus or salads, anything deep fried, seafood, shellfish, vegetable dishes or a simple cheese plate."
"Xinomavro","The most important grape of Naoussa, Greece where wine enthusiasts often cite the Xinomavro’s similarities to the Nebbiolo grape and the collector-worthy wine’s of Barolo.","Raspberry, Plum Sauce, Anise, Allspice, Tobacco","2","4","5","5","13.5–15% ABV","55–60°F / 12-15°C","Oversized","1 Hour","10+ Years","An excellent food pairing wine with cheesy pastas, mushroom risotto, roast chicken and pork or even a dry-aged steak where the tannins help cleanse the palate."
"Zinfandel (Primitivo)","Zinfandel wine is a bold, fruit forward red that’s loved for its jammy fruit and smoky, exotic spice notes. It’s also made into a sweet rosé called White Zinfandel.","Blackberry, Strawberry, Peach Preserves, Cinnamon, Sweet Tobacco","2","4","4","2","Over 15% ABV","60–68°F / 15-20°C","Universal","30 Minutes","5–10 Years","Zinfandel pairs well with Moroccan and Turkish spices that embellish the wine’s cinnamon-spice subtleties. Or, try this Puglian classic, Pizza Rustica – a wafer-thin calzone stuffed with roasted onions, tomatoes, anchovies, and olives.
"
"Zweigelt","Austria’s most planted red wine grape and is a cross between Blaufränkisch and St. Laurent (tastes like Pinot Noir). Resulting wines are bright, tart, and fruity.","Red Cherry, Raspberry, Black Pepper, Licorice, Chocolate","2","2","2","4","11.5–13.5% ABV","55–60°F / 12-15°C","Aroma Collector","30 Minutes","3–5 Years","The ultimate picnic red that will moisten up even the driest piece of barbecue-grilled chicken and will even make store-bought macaroni salad taste amazing."
"Vernaccia di San Gimignano","Hailing from Tuscany, this white grape is also the varietal in the Tuscan regional wine with the same name. Wines are bright, citrusy and crisp, and lend a slight bitter note on the finish.","Yellow Apple, Underripe Pear, Lemon, Almond, Saline","2","2","1","4","11.5–13.5% ABV","45–55°F / 7-12°C","White","No","1–3 Years","Pair this with white meats or fish, as well as herbed and savoury sauces to bring out the herbal notes."
